# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
recroqueviller	7.17
adoucir	7.14
intituler	7.12
suffoquer	7.12
balbutier	7.11
articuler	7.09
rattacher	7.08
déshonorer	7.07
illustrer	7.07
scintiller	7.06
tisser	7.06
bredouiller	7.06
rebondir	7.05
frayer	7.04
déverser	7.03
grommeler	7.03
amorcer	6.98
contaminer	6.98
saler	6.97
compenser	6.96
dégringoler	6.96
entraver	6.95
inverser	6.93
racler	6.93
dénicher	6.92
officier	6.92
rallumer	6.92
désarmer	6.91
daigner	6.90
réprimer	6.90
favoriser	6.90
grignoter	6.89
différer	6.89
osciller	6.87
redoubler	6.87
épater	6.87
dénouer	6.86
enrager	6.85
rendormir	6.84
ressaisir	6.82
revendre	6.82
recruter	6.80
gaver	6.79
acquiescer	6.79
confronter	6.78
bénéficier	6.75
desserrer	6.71
contester	6.71
lisser	6.70
mobiliser	6.69
assaillir	6.69
terrifier	6.68
onduler	6.65
abstenir	6.65
affranchir	6.64
impatienter	6.64
infiltrer	6.62
replonger	6.61
enfler	6.61
assoupir	6.59
paumer	6.59
déceler	6.58
bouder	6.57
rajeunir	6.55
déduire	6.54
doter	6.54
reconduire	6.53
reporter	6.51
vautrer	6.50
coopérer	6.50
éclipser	6.50
crisser	6.47
collaborer	6.47
apprivoiser	6.47
gerber	6.47
présumer	6.47
broyer	6.46
trotter	6.46
sceller	6.46
ravager	6.46
détecter	6.45
édifier	6.43
grimacer	6.42
influencer	6.42
griffer	6.40
astiquer	6.40
répartir	6.40
purifier	6.39
esquiver	6.38
conter	6.38
tapir	6.37
rectifier	6.36
tinter	6.35
émaner	6.35
déferler	6.33
blaguer	6.33
charmer	6.33
dédaigner	6.33
fouler	6.33
financer	6.31
rayonner	6.31
infecter	6.30
allier	6.29
requérir	6.29
haleter	6.28
noircir	6.28
transpercer	6.26
pétrir	6.25
verrouiller	6.25
caser	6.23
éplucher	6.23
propager	6.21
terroriser	6.21
abolir	6.20
relancer	6.19
initier	6.18
prodiguer	6.16
héberger	6.13
affaisser	6.12
conjurer	6.12
pondre	6.12
déraper	6.08
parfumer	6.08
rimer	6.08
absenter	6.07
acquitter	6.05
ranimer	6.05
étinceler	6.05
tapisser	6.04
engourdir	6.03
choir	6.03
palpiter	6.03
résulter	6.02
mûrir	6.00
repeindre	6.00
shooter	5.99
devancer	5.99
fausser	5.98
réviser	5.97
clocher	5.95
prélever	5.94
marteler	5.93
ridiculiser	5.93
éduquer	5.92
ronronner	5.92
pleurnicher	5.92
restituer	5.92
recoucher	5.90
démerder	5.89
neiger	5.89
ramer	5.89
éclabousser	5.89
résider	5.88
bourdonner	5.87
angoisser	5.86
dégonfler	5.86
amasser	5.85
fracasser	5.84
ensevelir	5.84
simuler	5.84
gicler	5.83
enivrer	5.82
inclure	5.81
tortiller	5.81
exhaler	5.81
varier	5.80
survoler	5.80
gober	5.79
administrer	5.78
régir	5.77
arpenter	5.76
grelotter	5.76
trier	5.76
